COUNTRY,INCOMEPERPERSON,ALCCONSUMPTION,ARMEDFORCESRATE,BREASTCANCERPER100TH,CO2EMISSIONS,FEMALEEMPLOYRATE,HIVRATE,INTERNETUSERATE,LIFEEXPECTANCY,OILPERPERSON,POLITYSCORE,RELECTRICPERPERSON,SUICIDEPER100TH,EMPLOYRATE,urbanrate
ANTARCTIC FISHERIES,,,,,143000,,,,,,,,,,
Abkhazia,,,,,,,,,,,,,,,
Afghanistan,,0.03,0.5696534,26.8,75944000,25.600000381,,3.6541216228,48.673,,0,,6.6843852997,55.700000763,24.04
Akrotiri and Dhekelia,,,,,,,,,,,,,,,
Albania,1914.9965509,7.29,1.0247361,57.4,223747333.33,42.099998474,,44.989946958,76.918,,9,636.34138337,7.6993298531,51.400001526,46.72
Algeria,2231.9933352,0.69,2.306817,23.5,2932108666.7,31.700000763,0.1,12.500073306,73.131,0.4200945252,2,590.50981435,4.8487696648,50.5,65.22
American Samoa,,,,,,,,,,,,,,,92.32
Andorra,21943.339898,10.17,,,,,,81,,,,,5.3621788025,,88.92
Angola,1381.0042677,5.57,1.4613288,23.1,248358000,69.400001526,2,9.9999538832,51.093,,-2,172.99922739,14.55467701,75.699996948,56.7
Anguilla,,,,,363000,,,,,,,,,,
Antigua and Barbuda,11894.464075,8.17,,,16225000,,,80.645454545,,,,,2.1618432999,,30.46
Argentina,10749.419238,9.35,0.560987,73.9,5872119000,45.900001526,0.5,36.00033495,75.901,0.635943801,8,768.4282997,7.765584,58.400001526,92
Armenia,1326.7417572,13.66,2.6184384,51.6,51219666.667,34.200000763,0.1,44.00102458,74.241,,5,603.76305756,3.7415878773,40.099998474,63.86
Aruba,,,,,35871000,,,41.800888889,75.246,,,,,,46.78
Australia,25249.986061,10.21,0.4862799,83.2,12970092667,54.599998474,0.1,75.895653796,81.907,1.9130261091,10,2825.3910954,8.4700301251,61.5,88.74
Austria,26692.984107,12.4,0.8155798,70.5,4466084333.3,49.700000763,0.3,72.731575542,80.854,1.5487909661,10,2068.123309,13.09437,57.099998474,67.16
Azerbaijan,2344.8969162,13.34,1.9767462,31.5,511107666.67,56.200000763,0.1,46.679701568,70.739,0.35917261,-7,921.56211076,1.3809646368,60.900001526,51.92
Bahamas,19630.540547,8.65,0.5452863,54.4,137555000,60.700000763,3.1,42.984580175,75.62,,,,3.3744158745,66.599998474,83.7
Bahrain,12505.212545,4.19,5.2311429,40.2,503994333.33,30.200000763,,54.992809033,75.057,,-7,7314.3556367,4.4149904251,60.400001526,88.52
Bangladesh,558.06287663,0.17,0.2878915,16.6,598774000,53.599998474,0.06,3.7000032598,68.944,0.0322814662,5,68.115228584,14.538356781,68.099998474,27.14
Barbados,9243.5870526,6.42,0.6639555,62.5,36160666.667,60.299999237,1.4,70.02859927,76.835,,,,3.1086025238,66.900001526,39.84
Belarus,2737.6703794,18.85,3.7119299,36,999874333.33,48.599998474,0.3,32.052143909,70.349,0.6878280797,-7,614.90728721,26.874690295,53.400001526,73.46
Belgium,24496.048264,10.41,0.8156477,92,10897025333,41.700000763,0.2,73.733934471,80.009,,8,1920.9622152,15.95385,48.599998474,97.36
Belize,3545.6521739,5.92,0.7583556,29.8,14058000,38.799999237,2.3,12.645733333,76.072,,,,9.3887958527,56.799999237,51.7
Benin,377.03969946,2.08,0.2233986,28.1,37950000,58.200000763,1.2,3.1299618034,56.081,,7,38.222943358,6.0577397346,71.599998474,41.2
Bermuda,62682.147006,,,,20331666.667,,,84.654514087,,,,,,,100
Bhutan,1324.1949063,0.54,,21.8,6024333.3333,39.900001526,0.2,13.598876033,67.185,,3,,15.542602539,58.400001526,34.48
Bolivia,1232.794137,5.78,1.8821978,24.7,254939666.67,61.599998474,0.2,20.001710142,66.618,,7,213.06161368,2.0341784954,70.400001526,65.58
Bosnia and Herzegovina,2183.344867,9.6,0.4628471,58.9,236419333.33,34.900001526,,52.002060638,75.67,,,927.11949738,11.836715698,41.200000763,47.44
Botswana,4189.4365875,6.97,1.1319097,33.4,78943333.333,38.700000763,24.8,5.9998355755,53.183,,8,454.7957053,11.213970184,46,59.58
Brazil,4699.4112621,10.08,0.7213964,46,9580226333.3,53.299999237,0.45,40.650098004,73.488,0.5996517885,8,498.16530524,4.777007,64.5,85.58
British Virgin Islands,,,,,1771000,,,,,,,,,,
Brunei,17092.460004,1.86,4.683989,20.6,254206333.33,55.5,,49.989974937,78.005,,,3067.498901,1.3700015545,63.799999237,74.82
Bulgaria,2549.5584738,11.4,2.0433877,46.2,3157700333.3,42.099998474,0.1,45.986589907,73.371,0.5604235307,9,1380.8692885,9.216544,47.299999237,71.1
Burkina Faso,276.20041296,7.32,0.1629041,30.6,20628666.667,75.800003052,1.2,1.4000606995,55.439,,0,,8.2042217255,81.300003052,19.56
Burundi,115.3059959,9.65,1.1577498,19.5,8092333.3333,83.300003052,3.3,2.1002127058,50.411,,6,,14.68093586,83.199996948,10.4
Cambodia,557.9475126,4.71,2.5364458,21.5,45411666.667,73.400001526,0.5,1.2599336092,63.125,,2,51.58131958,4.9610714912,78.900001526,21.56
Cameroon,713.63930272,7.9,0.305758,29.7,125172666.67,49,5.3,3.9999773458,51.61,,-4,59.551244981,7.2142205238,59.099998474,56.76
Canada,25575.352623,10.2,0.3429763,84.3,24979045667,58.900001526,0.2,81.338392686,81.012,3.0073558513,10,4772.3706478,10.10099,63.5,80.4
Cape Verde,1959.8444724,4.98,0.4833248,28.1,5214000,43.599998474,,29.999939516,74.156,,,,5.633333683,55.900001526,59.62
Cayman Islands,,,,,8968666.6667,,,66,,,,,,,100
Central African Rep.,239.51874937,3.17,0.1486587,16.5,8338000,62.900001526,4.7,2.300026653,48.398,,-1,,13.548419952,71.300003052,38.58
Chad,275.88428653,4.39,0.8358123,16.5,7608333.3333,66.300003052,3.4,1.7000314955,49.553,,-2,,8.2830705643,68.900001526,26.68
Channel Islands,,,,,,,,,80.055,,,,,,31.12
Chile,6334.105194,8.81,1.3411144,43.9,1839471333.3,35.5,0.4,45,79.12,0.8589615517,10,532.51517721,10.17187,51,88.44
China,2425.4712933,5.56,0.3713568,18.7,101386215333,68.900001526,0.1,34.377789519,73.456,0.319532369,-7,331.37663203,16.913248062,72.800003052,43.1
Christmas Island,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,
Colombia,3233.4237801,6.59,2.2156207,30.3,2269806000,54.900001526,0.5,36.499874641,73.703,0.237607469,7,404.59136537,4.907702,63.200000763,74.5
Comoros,336.36874948,0.28,,19.5,2368666.6667,59.299999237,0.1,5.0982653061,61.061,,9,,4.7510838509,68,28.08
"Congo, Dem. Rep.",103.77585724,3.39,0.628381,10.3,169180000,50.400001526,,0.7200086773,48.397,,5,30.709243548,14.713020325,66.199996948,33.96
"Congo, Rep.",1253.2920151,4.46,0.7716936,20.6,46306333.333,52.299999237,3.4,4.9998750928,57.379,,-4,56.37245031,9.8737611771,64.199996948,61.34
Cook Islands,,3.23,,,1045000,,,,,,,,4.3733649254,,
Costa Rica,5188.9009352,5.81,0.4736536,30.9,148470666.67,40.099998474,0.3,36.499114724,79.311,,10,798.34059964,6.597168,58.599998474,63.26
Cote d'Ivoire,591.06794434,6.47,0.2339148,26,228748666.67,38.099998474,3.4,2.5999736549,55.377,,0,70.387444443,20.317930222,59.900001526,48.78
Croatia,6338.4946677,15,1.1032787,62.1,310024000,39.400001526,0.06,60.119707017,76.64,,9,1494.4102684,14.77625,47.099998474,57.28
Cuba,4495.0462615,5.12,1.4953835,31.2,1286670000,43.700000763,0.1,15.899970341,79.143,,-7,528.78734975,10.57191,56,75.66
Cyprus,15313.859347,8.84,2.4549129,67.2,183535000,51.299999237,,53.024744829,79.591,,10,2123.7628627,2.206169,59.099998474,69.9
Czech Rep.,7381.3127508,16.47,0.5157058,58.4,1776016000,47.599998474,0.06,68.638133471,77.685,0.8767783352,8,1438.780412,12.36798,56,73.5
Czechoslovakia,,,,,,,,,,,,,,,
DEMOCRATIC REPUBLIC OF VIETNAM,,,,,,,,,,,,,,,
Denmark,30532.277044,12.02,1.012373,88.7,3503877666.7,58.099998474,0.2,88.770253874,78.826,1.5675274615,10,1884.299342,8.973104,63.099998474,86.68
Djibouti,895.31833964,1.87,3.4515458,19.5,14054333.333,,2.5,6.4979235096,57.937,,2,,4.993475914,,87.3
Dominica,6147.7796098,8.68,,,2401666.6667,,,47.280436029,,,,,5.8352508545,,73.92
Dominican Rep.,4049.1696291,6.28,1.469369,36.1,446365333.33,40.5,0.9,39.531274262,73.396,,8,457.64484227,6.519536972,52.700000763,69.02
EAST & WEST PAKISTAN,,,,,,,,,,,,,,,
East Germany,,,,,,,,,,,,,,,
Ecuador,1728.0209761,9.43,1.0179463,23.5,692039333.33,45.5,0.4,28.999476737,75.632,0.732816541,5,314.82619968,8.5046844482,59.700000763,65.58
Egypt,1975.5519059,0.32,3.2908071,24.2,3341129000,18.200000763,0.06,26.740025382,73.235,0.4474792661,-3,536.76045073,1.7999036312,42.400001526,42.72
El Salvador,2557.4336378,3.99,1.321155,13.6,143586666.67,44.799999237,0.8,15.899982028,72.196,,8,256.09915134,7.304886,58.200000763,60.7
Equatorial Guinea,8654.5368449,6.12,0.3976544,16.5,26125000,39.599998474,5,6.0034371429,51.088,,-5,,10.129349709,61.700000763,39.38
Eritrea,131.79620701,1.64,9.8201265,19.5,7315000,51.700000763,0.8,5.3996669966,61.597,,-7,20.288131093,8.9133625031,64.900001526,20.72
Eritrea and Ethiopia,,,,,,,,,,,,,,,
Estonia,6238.5375062,17.24,0.9984276,47.7,277170666.67,52.099998474,1.2,74.163040299,74.825,,9,1411.2305322,16.95924,56.5,69.46
Ethiopia,220.89124792,4.1,0.3617085,24.7,119958666.67,73,,0.7499958499,59.274,,1,15.05623591,10.071942329,80.699996948,17
FEDERATION OF MALAYA-SINGAPORE,,,,,,,,,,,,,,,
FORMER PANAMA CANAL ZONE,,,,,,,,,,,,,,,
FRENCH EQUATORIAL AFRICA,,,,,,,,,,,,,,,
FRENCH GUIANA,,,,,21743333.333,,,,,,,,,,
FRENCH INDO-CHINA,,,,,,,,,,,,,,,
FRENCH WEST AFRICA,,,,,,,,,,,,,,,
Faeroe Islands,,,,,21351000,,,75.2,,,,,,,41.42
Falkland Islands (Malvinas),,,,,4304666.6667,,,,,,,,,,
Fiji,2230.6763741,2.76,1.1772684,31.2,35717000,36.799999237,0.1,14.830735884,69.245,,-4,,3.9402589798,56.400001526,52.36
Finland,27110.731591,13.1,1.1774157,84.7,2420300666.7,53.400001526,0.1,86.898844508,79.977,1.9386542682,10,4036.9539934,16.23437,57.200000763,63.3
France,22878.466567,12.48,1.2337802,91.9,33341634333,45.599998474,0.4,77.49861935,81.539,1.328291411,9,2539.7532727,14.09153,51.200000763,77.36
French Guiana,,,,,,,,,76.456,,,,,,
French Polynesia,,,,34.2,19800000,,,48.957328413,75.133,,,,,,51.64
Gabon,4180.7658207,9.46,1.0189063,18.2,170804333.33,52.599998474,5.2,7.2322242458,62.703,,3,537.10473814,7.7450647354,59,85.04
Gambia,354.59972629,3.58,0.1345905,6.4,7355333.3333,65.699996948,2,9.1967754772,58.491,,-5,,6.4491567612,71.699996948,56.42
Georgia,1258.7625963,6.66,1.4507353,51.8,81191000,48.5,0.1,26.297251482,73.737,,6,617.92555175,1.5743501186,55.599998474,52.74
Germany,25306.187193,12.14,0.5758096,79.8,41229554667,46.799999237,0.1,82.526897905,80.414,1.3985000328,10,1693.891898,9.211085,53.5,73.64
Ghana,358.9795398,3.11,0.1314868,28.1,188268666.67,64.099998474,1.8,9.5499307006,64.228,,8,97.246492118,6.2885546684,65.099998474,50.02
Gibraltar,,,,,7388333.3333,,,65,,,,0,,,
Greece,13577.879885,11.01,3.0932506,51.6,2712915333.3,37.799999237,0.1,44.570074443,79.915,1.6286148868,10,1690.7184344,2.816705,49.599998474,61
Greenland,20751.893424,,,,23635333.333,,,63.849152722,,,,,,,83.52
Grenada,5330.401612,10.71,,,4774000,,,33.616682885,75.956,,,,3.5764782429,,30.84
Guadeloupe,,,,,45778333.333,38.299999237,,,79.839,,,,,43.099998474,
Guam,,,,50.4,,,,,76.142,,,,,,93.16
Guatemala,1860.753895,7.1,0.6608385,25.9,242594000,44,0.8,10.49994819,71.172,,8,187.32488217,2.234896,62.700000763,48.58
Guernsey,,,,,,,,,,,,,,,
Guinea,411.50144725,0.79,0.4026995,15.3,46684000,77.599998474,1.3,0.9999589261,54.097,,-1,,7.4438261986,81.5,34.44
Guinea-Bissau,161.3171371,3.9,0.9301079,28.1,7813666.6667,49.900001526,2.5,2.4503622442,48.132,,6,,7.5636920929,65.900001526,29.84
Guyana,1200.6520749,8.7,0.8776657,29.5,69329333.333,41.799999237,1.2,29.879921457,69.927,,6,,35.752872467,58.900001526,28.38
Haiti,371.42419752,5.92,0,4.4,40857666.667,35.400001526,1.9,8.3702068838,62.095,,5,9.1923947083,1.5192480087,55.900001526,46.84
Holy See,,,,,,,,,,,,,,,
Honduras,1392.4118285,4.43,0.7108232,25.9,131703000,34.200000763,0.8,11.090764626,73.126,,7,278.73963505,7.0601844788,56.299999237,47.88
"Hong Kong, China",35536.072471,,,,1026813333.3,51.599998474,,71.849123939,82.759,2.2826554059,,1468.6407843,,59,100
Hungary,5634.003948,16.12,0.8668624,63,4244009000,40.299999237,0.06,65.163250915,74.414,0.6710975801,10,1154.1799321,20.16201,47.299999237,67.5
Iceland,33945.314422,7.38,0.0661,90,92770333.333,69.599998474,0.3,95.638113208,81.804,,,2826.0448735,11.42618084,73.599998474,92.26
India,786.70009815,2.69,0.5739204,19.1,30391317000,32.299999237,0.3,7.4999958783,65.438,0.1269787524,9,110.70546637,18.583826065,55.400001526,29.54
Indonesia,1143.8315135,0.56,0.5159403,26.1,6710201666.7,44.099998474,0.2,9.9000386722,69.366,0.2484669506,8,221.96146143,11.396111488,61.5,51.46
Iran,2161.5465097,1.03,2.0263996,17.1,9183548000,26.899999619,0.2,13.000110716,72.974,1.1625764479,-7,753.20980216,6.0218820572,47.799999237,68.46
Iraq,736.2680538,0.47,7.7379125,31.7,2421917666.7,12.399999619,,2.4719483469,69.042,,0,0,17.032646179,37.400001526,66.6
Ireland,27595.091347,14.92,0.4500244,74.9,1633778666.7,51,0.2,69.770394413,80.557,1.7002617508,10,2051.8023377,10.36507,59.900001526,61.34
Isle of Man,,,,,,,,,,,,,,,50.84
Israel,22275.751661,2.52,5.8731426,90.8,1561079666.7,46.400001526,0.2,65.387785939,81.618,,10,2342.4352481,5.931845,51.299999237,91.66
Italy,18982.269285,9.72,1.7293464,74.4,19000454000,35.799999237,0.3,53.7402166,81.855,1.2072498142,10,1176.3854571,4.9300445089,46.400001526,68.08
JAPAN (EXCLUDING THE RUYUKU ISLANDS),,,,,,,,,,,,,,,
Jamaica,3665.3483686,5.17,0.2437395,43.5,340090666.67,47.5,1.7,26.477223242,73.127,,9,368.43460606,4.4175071716,58.200000763,53.3
Japan,39309.478859,7.79,0.3618584,32.7,46092214667,46.200000763,0.06,77.638535155,83.394,1.5932234894,10,2257.5722332,18.94693,57.299999237,66.48
Jersey,,,,,,,,,,,,,,,
Jordan,2534.00038,0.65,5.9096991,33,377303666.67,13,,38.881201588,73.403,,-3,719.47653023,0.2014487237,38.900001526,78.42
KUWAITI OIL FIRES,,,,,,,,,,,,,,,
Kazakhstan,2481.7189179,11.1,0.9562696,38.7,2484925666.7,58.200000763,0.1,33.382128163,67.017,0.779964667,-6,484.09898796,25.4046,63.700000763,57.94
Kenya,468.69604356,3.88,0.1595738,25.2,283583666.67,66.599998474,6.3,25.899796702,57.134,,7,41.180003206,10.937718391,73.199996948,21.6
Kiribati,760.26236504,2.7,,,1111000,,,8.95914,,,,,,,43.84
"Korea, Dem. Rep.",,,10.6385211,20.4,5896388666.7,56,,,68.846,,-9,0,4.7356734276,64.599998474,62.68
"Korea, Rep.",16372.499781,19.15,2.8339665,20.4,9666891666.7,48,0.06,82.515927996,80.642,2.0878480106,8,1142.3090086,22.40456,58.900001526,81.46
"Korea, United",,,,,,,,,,,,,,,
Kosovo,1860.0987102,,,,,,,,,,8,,,,
Kuwait,,0.1,1.6095482,31.8,1712755000,42,,38.260233553,74.576,6.4675678875,-7,8362.567977,1.4980574243,65.699996948,98.36
Kyrgyzstan,372.728414,4.72,0.8377678,23,87970666.667,48.799999237,0.3,19.582316446,67.714,,1,428.31230706,9.875281,58.900001526,36.28
LEEWARD ISLANDS,,,,,,,,,,,,,,,
Laos,554.87984007,6.99,4.3015761,10.9,21332666.667,78.099998474,0.2,6.9998803419,67.484,,-7,,26.219198227,78.199996948,30.88
